country_code,country,year,gini
GBR,United Kingdom,2016,0.351
GBR,United Kingdom,2013,0.358
SWE,Sweden,2021,0.286
SWE,Sweden,2020,0.276
SWE,Sweden,2019,0.277
SWE,Sweden,2018,0.273
SWE,Sweden,2016,0.28
SWE,Sweden,2015,0.276
SWE,Sweden,2014,0.272
SWE,Sweden,2013,0.267
NOR,Norway,2020,0.263
NOR,Norway,2014,0.257
NOR,Norway,2013,0.252
NOR,Norway,2008,0.25
FRA,France,2021,0.298
FRA,France,2020,0.278
DNK,Denmark,2017,0.264
AUS,Australia,2018,0.325
AUS,Australia,2016,0.33
AUS,Australia,2014,0.337
CAN,Canada,2021,0.292
CAN,Canada,2020,0.28
CAN,Canada,2019,0.3
CAN,Canada,2018,0.304
CAN,Canada,2017,0.31
CAN,Canada,2016,0.307
CAN,Canada,2015,0.318
CAN,Canada,2014,0.312
CAN,Canada,2013,0.319
CAN,Canada,2012,0.317
CAN,Canada,2011,0.316
CAN,Canada,2011,0.313
CAN,Canada,2010,0.316
CAN,Canada,2010,0.319
CAN,Canada,2009,0.32
CAN,Canada,2009,0.316
CAN,Canada,2008,0.315
CAN,Canada,2008,0.321
CAN,Canada,2007,0.318
CAN,Canada,2007,0.317
CAN,Canada,2006,0.316
CAN,Canada,2006,0.317
CAN,Canada,2005,0.317
CAN,Canada,2005,0.315
CAN,Canada,2004,0.321
CAN,Canada,2004,0.322
CAN,Canada,2003,0.316
CAN,Canada,2003,0.315
CAN,Canada,2002,0.317
CAN,Canada,2002,0.318
CAN,Canada,2001,0.317
CAN,Canada,2001,0.317
CAN,Canada,2000,0.315
CAN,Canada,2000,0.315
CAN,Canada,1999,0.307
CAN,Canada,1999,0.308
CAN,Canada,1998,0.31
CAN,Canada,1998,0.307
CAN,Canada,1997,0.301
CAN,Canada,1997,0.304
CAN,Canada,1996,0.301
CAN,Canada,1996,0.297
CAN,Canada,1995,0.289
CAN,Canada,1994,0.287
CAN,Canada,1993,0.286
CAN,Canada,1992,0.296
CAN,Canada,1992,0.292
CAN,Canada,1991,0.294
CAN,Canada,1991,0.296
CAN,Canada,1990,0.289
CAN,Canada,1990,0.287
CAN,Canada,1989,0.282
CAN,Canada,1989,0.284
CAN,Canada,1988,0.286
CAN,Canada,1988,0.284
CAN,Canada,1987,0.289
CAN,Canada,1987,0.291
CAN,Canada,1986,0.293
CAN,Canada,1986,0.292
CAN,Canada,1985,0.293
CAN,Canada,1985,0.294
CAN,Canada,1984,0.297
CAN,Canada,1984,0.296
CAN,Canada,1983,0.299
CAN,Canada,1983,0.3
CAN,Canada,1982,0.292
CAN,Canada,1982,0.291
CAN,Canada,1981,0.287
CAN,Canada,1981,0.288
CAN,Canada,1980,0.289
CAN,Canada,1980,0.289
USA,United States,2012,0.389
USA,United States,2011,0.389
USA,United States,2010,0.38
USA,United States,2009,0.379
USA,United States,2008,0.378
USA,United States,2007,0.376
USA,United States,2006,0.384
USA,United States,2005,0.38
USA,United States,2004,0.36
USA,United States,2003,0.374
USA,United States,2002,0.376
USA,United States,2001,0.36
USA,United States,2000,0.357
USA,United States,1999,0.354
USA,United States,1998,0.357
USA,United States,1997,0.364
USA,United States,1996,0.363
USA,United States,1995,0.361
USA,United States,1994,0.366
USA,United States,1993,0.369
GBR,United Kingdom,2010,0.341
GBR,United Kingdom,2009,0.345
GBR,United Kingdom,2008,0.342
GBR,United Kingdom,2007,0.341
GBR,United Kingdom,2006,0.339
GBR,United Kingdom,2005,0.335
GBR,United Kingdom,2004,0.331
GBR,United Kingdom,2003,0.335
GBR,United Kingdom,2002,0.335
GBR,United Kingdom,2001,0.34
GBR,United Kingdom,2000,0.352
GBR,United Kingdom,1999,0.34
GBR,United Kingdom,1994,0.337
GBR,United Kingdom,1990,0.355
GBR,United Kingdom,1985,0.309
SWE,Sweden,2011,0.273
SWE,Sweden,2010,0.269
SWE,Sweden,2009,0.269
SWE,Sweden,2008,0.259
SWE,Sweden,2004,0.234
